Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Protein,Salt,Fiber,Vitamin B6,Folsyra,Niacin,Jod,Järn,Tiamin,Varav fleromättat fett,Varav enkelomättat fett,Magnesium,Zink,Fosfor,Natrium,Riboflavin,Kalcium,Kalium,url
Donutkakor choklad 150g ICA,"30,90 kr","0.15kg 206,00 kr/kg",427 kcal,1785 kJ,23 g,12 g,53 g,30 g,4.3 g,0.25 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/donutkakor-choklad-150g-ica/2161819
Majskakor Popcorn 125g Friggs,"27,90 kr","0.125kg 223,20 kr/kg",414 kcal,1740 kJ,14.4 g,1.5 g,65 g,2.2 g,5.7 g,1.8 g,0.7 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/majskakor-popcorn-125g-friggs/2031617
Pepparkakor Original 400g Annas,"41,90 kr","0.4kg 104,75 kr/kg",471 kcal,1979 kJ,19 g,9 g,70 g,33 g,5.4 g,1.19 g,1.5 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pepparkakor-original-400g-annas/2063163
Svenskt Lantbröd 800g ICA,"37,90 kr","0.8kg 47,38 kr/kg",230 kcal,950 kJ,3.9 g,0 g,42 g,4.9 g,7.9 g,0.7 g,5.1 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/svenskt-lantbr%C3%B6d-800g-ica/2106546
Cookies Vit choklad & tranbär 150g ICA,"25,90 kr","0.15kg 172,67 kr/kg",489 kcal,2049 kJ,23 g,12 g,65 g,45 g,4.9 g,0.66 g,2.3 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cookies-vit-choklad-tranb%C3%A4r-150g-ica/1469732
Grovknäcke Glutenfri 215g Semper,"27,90 kr","0.215kg 129,77 kr/kg",357 kcal,1511 kJ,2 g,0.1 g,77 g,4.2 g,3.5 g,1.3 g,8.5 g,0.22 mg,50 µg,2.4 mg,22.5 µg,5 mg,0.23 mg,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/grovkn%C3%A4cke-glutenfri-215g-semper/1005317
Dumle Cookies glutenfria 140g Fazer,"63,00 kr","0.14kg 450,00 kr/kg",492 kcal,2058 kJ,22 g,3.2 g,65 g,38 g,7.1 g,1.1 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/dumle-cookies-glutenfria-140g-fazer/2155307
Jubileumskaka Vallmo 400 g Polarbröd,"31,90 kr","0.4kg 79,75 kr/kg",290 kcal,1200 kJ,7.1 g,1.1 g,48 g,5.8 g,8.6 g,0.8 g,2.5 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/jubileumskaka-vallmo-400-g-polarbr%C3%B6d/2140744
Kolakakor Glutenfri 150g Semper,"28,90 kr","0.15kg 192,67 kr/kg",510 kcal,2135 kJ,26 g,18 g,67 g,23 g,1.5 g,1.1 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kolakakor-glutenfri-150g-semper/1004744
Små kanelbullar 260g Pågen,"38,90 kr","0.26kg 149,62 kr/kg",372 kcal,1563 kJ,14 g,2.7 g,54 g,17 g,7.2 g,0.58 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sm%C3%A5-kanelbullar-260g-p%C3%A5gen/2118539
Mini Marängtoppar 100g ICA,"35,90 kr","0.1kg 359,00 kr/kg",397 kcal,1686 kJ,0.1 g,0.1 g,94 g,81 g,5.1 g,0.11 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mini-mar%C3%A4ngtoppar-100g-ica/2015742
Havssalt & frön 180g Leksands Tre Kullor,"51,00 kr","0.18kg 283,33 kr/kg",480 kcal,2010 kJ,27 g,3.8 g,38 g,4.3 g,18 g,2.3 g,7.9 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havssalt-fr%C3%B6n-180g-leksands-tre-kullor/1471826
Choco Brookie 132 g Marabou,"43,90 kr","0.132kg 332,58 kr/kg",466 kcal,1949 kJ,26 g,12 g,54 g,35 g,5.2 g,0.43 g,1.7 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/choco-brookie-132-g-marabou/2140649
Digestive Original 400g Mc Vities,"27,90 kr","0.4kg 69,75 kr/kg",483 kcal,2023 kJ,21.8 g,10.3 g,62.7 g,16.8 g,6.9 g,1.5 g,3.4 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/digestive-original-400g-mc-vities/1387195
Cookies vitchoklad citron 150g ICA,"25,90 kr","0.15kg 172,67 kr/kg",521 kcal,2177 kJ,28 g,14 g,61 g,39 g,5.4 g,0.5 g,1.1 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cookies-vitchoklad-citron-150g-ica/2101086
Grahamsbröd 650g Pågen,"43,90 kr","0.65kg 67,54 kr/kg",247 kcal,1041 kJ,2.9 g,0.4 g,40 g,5.6 g,12 g,1.2 g,6.5 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/grahamsbr%C3%B6d-650g-p%C3%A5gen/2151042
Tuc Original 100g Lu,"17,90 kr","0.1kg 179,00 kr/kg",482 kcal,2021 kJ,19 g,9 g,67 g,7.1 g,8.3 g,1.7 g,2.4 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tuc-original-100g-lu/1364954
Grovt Surdegsbröd Fryst Glutenfri 500g Fria,"61,00 kr","0.5kg 122,00 kr/kg",300 kcal,1250 kJ,13 g,1.6 g,35 g,4.6 g,6.1 g,1.3 g,11.5 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/grovt-surdegsbr%C3%B6d-fryst-glutenfri-500g-fria/2005000
Donut Wild Fruits 70 g Dafgård,"14,90 kr","0.07kg 212,86 kr/kg",405 kcal,1692 kJ,22 g,12 g,47 g,26 g,4.4 g,0.75 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/donut-wild-fruits-70-g-dafg%C3%A5rd/2140882
Chokladfondant Fryst 2-p 140g ICA,"44,90 kr","0.14kg 320,71 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladfondant-fryst-2-p-140g-ica/1527690
Tunt knäckebröd Ekologisk 250g ICA I love eco,"30,90 kr","0.25kg 123,60 kr/kg",356 kcal,1498 kJ,5.4 g,0.9 g,59 g,1.3 g,10 g,1.3 g,16 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tunt-kn%C3%A4ckebr%C3%B6d-ekologisk-250g-ica-i-love-eco/1367879
Kakor Choklad 176g Brago,"29,90 kr","0.175kg 170,86 kr/kg",486 kcal,2040 kJ,21 g,8 g,67 g,30 g,6.9 g,0.6 g,2.6 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kakor-choklad-176g-brago/2091808
Riskakor med Pizzasmak 125g Friggs,"28,90 kr","0.125kg 231,20 kr/kg",450 kcal,1900 kJ,17 g,2.1 g,64 g,3.9 g,8.1 g,1.6 g,3.2 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/riskakor-med-pizzasmak-125g-friggs/1005358
Lyxbulle Blåbär & Vanilj 100g Dafgårds,"14,90 kr","0.1kg 149,00 kr/kg",280 kcal,1200 kJ,6.8 g,3.4 g,48 g,20 g,5.5 g,0.28 g,1.4 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lyxbulle-bl%C3%A5b%C3%A4r-vanilj-100g-dafg%C3%A5rds/2128494
Cantuccini Mandel 250gZeta,"48,90 kr","0.25kg 195,60 kr/kg",451 kcal,1896 kJ,15 g,2.6 g,68 g,35 g,9.2 g,0.91 g,3.6 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cantuccini-mandel-250gzeta/2168440
Saltiner 150g Göteborgs,"27,90 kr","0.15kg 186,00 kr/kg",489 kcal,2046 kJ,23 g,11 g,61 g,3.8 g,7.7 g,2.8 g,2.7 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/saltiner-150g-g%C3%B6teborgs/1005069
