Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Protein,Salt,Vitamin B12,Vitamin D,Kalcium,Varav fleromättat fett,Varav enkelomättat fett,Vitamin A,Fiber,Vitamin C,Riboflavin,Jod,Pantotensyra,Kalium,Klorid,Fosfor,Molybden,Vitamin K,Natrium,Vitamin E,Magnesium,Selen,Zink,Folsyra,Järn,Vitamin B6,Niacin,Biotin,Tiamin,Varav polyoler,url
"Vaniljyoghurt Sommarbär 2,1% 1000g Valio","36,90 kr","1kg 36,90 kr/kg",88 kcal,370 kJ,2.1 g,1.2 g,13 g,12 g,3.6 g,0.1 g,0.4 µg,1 µg,120 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vaniljyoghurt-sommarb%C3%A4r-2-1-1000g-valio/1023379
Proteinshake Jordgubb & Hallonsmak Laktosfri 500g Arla®,"28,90 kr","0.5L 57,80 kr/l",51 kcal,214 kJ,0.9 g,0.6 g,4.8 g,4.7 g,5.7 g,0.18 g,,,183 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/proteinshake-jordgubb-hallonsmak-laktosfri-500g-arla/2129141
"Yoghurt Mini Blåbär 0,1% Laktosfri 1000g Yoggi®","37,90 kr","1kg 37,90 kr/kg",38 kcal,159 kJ,0.1 g,0.1 g,4.6 g,3.9 g,3.5 g,0.1 g,,0.88 µg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/yoghurt-mini-bl%C3%A5b%C3%A4r-0-1-laktosfri-1000g-yoggi/2053103
Västerbottensost® 450g 33%,"142,00 kr","0.45kg 315,56 kr/kg",390 kcal,1650 kJ,33 g,21 g,0 g,0 g,24 g,1.2 g,,,680 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/v%C3%A4sterbottensost-450g-33/1266658
Grekisk Yoghurt 0% 500g Larsa foods,"33,90 kr","0.5kg 67,80 kr/kg",58 kcal,247 kJ,0 g,0 g,4.5 g,3.5 g,10 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/grekisk-yoghurt-0-500g-larsa-foods/2023879
Mellanmål Jordgubb 165g Mannafrutti,"16,90 kr","0.165kg 102,42 kr/kg",138 kcal,578 kJ,7.2 g,4.9 g,16 g,13 g,2.8 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mellanm%C3%A5l-jordgubb-165g-mannafrutti/1023823
Smör Normalsaltat Svenskt 82% Ekologisk 250g Arla,"66,00 kr","0.25kg 264,00 kr/kg",740 kcal,3041 kJ,82 g,52 g,0.7 g,0.7 g,0.6 g,1.2 g,,,,1.9 g,20 g,724 µg,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sm%C3%B6r-normalsaltat-svenskt-82-ekologisk-250g-arla/1268171
Yoghurt Original Jordgubb & Smultron 2% 1000g Yoggi®,"36,90 kr","1kg 36,90 kr/kg",80 kcal,350 kJ,2.1 g,1.3 g,11 g,11 g,3.3 g,0.1 g,,0.93 µg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/yoghurt-original-jordgubb-smultron-2-1000g-yoggi/1201554
Fruktdryck Blåbär 1l Proviva,"42,90 kr","1L 42,90 kr/l",45 kcal,194 kJ,0.1 g,0 g,10.7 g,8.7 g,0.2 g,0.03 g,,,,,,,0.5 g,35 mg,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-bl%C3%A5b%C3%A4r-1l-proviva/2038974
Smör & Raps Normalsaltat Laktosfri 70% 250g Bregott®,"47,90 kr","0.25kg 191,60 kr/kg",633 kcal,2602 kJ,70 g,29 g,0.4 g,0.4 g,0.3 g,1.2 g,,20 µg,,9 g,27 g,950 µg,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sm%C3%B6r-raps-normalsaltat-laktosfri-70-250g-bregott/2128984
