Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Fiber,Protein,Salt,Vitamin D,Varav fleromättat fett,Varav enkelomättat fett,Selen,url
Stora räkor med skal 70-90st/kg Fryst 500g ICA,"94,00 kr","0.5kg 188,00 kr/kg",,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/stora-r%C3%A4kor-med-skal-70-90st-kg-fryst-500g-ica/1026437
Tångcaviar 70g ICA,"25,90 kr","0.07kg 370,00 kr/kg",13 kcal,54 kJ,0.5 g,0 g,1 g,0.5 g,2.5 g,1 g,4 g,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/t%C3%A5ngcaviar-70g-ica/2036575
Laxfilé Fryst 4-p 500g Pacific brand,"120,00 kr","0.5kg 240,00 kr/kg",180 kcal,750 kJ,12 g,2.6 g,0 g,0 g,,18 g,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/laxfil%C3%A9-fryst-4-p-500g-pacific-brand/1413816
Oskars Surströmming 6-8st 300g Oskars Surströmming,"88,00 kr","0.3kg 293,33 kr/kg u. spad",,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/oskars-surstr%C3%B6mming-6-8st-300g-oskars-surstr%C3%B6mming/1023881
Kaviar randig 185g Kalles,"36,90 kr","0.185kg 199,46 kr/kg",292 kcal,1220 kJ,24 g,4.6 g,10 g,8.3 g,,5.5 g,3.9 g,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kaviar-randig-185g-kalles/2140643
Torskfilé Fryst 400g ICA,"103,00 kr","0.4kg 257,50 kr/kg",78 kcal,328 kJ,0.5 g,0.5 g,0 g,0 g,,18 g,0.2 g,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/torskfil%C3%A9-fryst-400g-ica/1278535
Senapssill 230g Abba,"32,90 kr","0.11kg 299,09 kr/kg u. spad",249 kcal,1039 kJ,16 g,3 g,17 g,16 g,,8.5 g,3.7 g,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/senapssill-230g-abba/2092637
Blåmusselkött Fryst 200g ICA,"36,90 kr","0.2kg 184,50 kr/kg",,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bl%C3%A5musselk%C3%B6tt-fryst-200g-ica/1417702
Torskfiléer Fryst 600g ICA,"166,00 kr","0.6kg 276,67 kr/kg",85 kcal,359 kJ,0.5 g,0.1 g,0 g,0 g,,18 g,0.2 g,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/torskfil%C3%A9er-fryst-600g-ica/1430802
Blåmusslor Fryst 450g ICA,"54,00 kr","0.45kg 120,00 kr/kg",,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bl%C3%A5musslor-fryst-450g-ica/1396496
Tångcaviar svart 70g ICA,"25,90 kr","0.07kg 370,00 kr/kg",13 kcal,54 kJ,0.5 g,0 g,1 g,0 g,,1 g,4 g,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/t%C3%A5ngcaviar-svart-70g-ica/2101100
Skaldjursmix frysta 350g ICA,"81,00 kr","0.35kg 231,43 kr/kg",67 kcal,285 kJ,1.4 g,0.4 g,0.7 g,0 g,0 g,13 g,1.24 g,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/skaldjursmix-frysta-350g-ica/2053742
Laxfilé Färsk 2-p 250g Miljömärkt ICA Gott Liv,"87,00 kr","0.25kg 348,00 kr/kg",181 kcal,757 kJ,12 g,2.6 g,0 g,0 g,,18.4 g,0.1 g,8.85 µg,,,,https://handlaprivatkund.ica.se/stores/1004181/products/laxfil%C3%A9-f%C3%A4rsk-2-p-250g-milj%C3%B6m%C3%A4rkt-ica-gott-liv/2128981
Kaviar original 300g Kalles,"46,90 kr","0.3kg 156,33 kr/kg",401 kcal,1679 kJ,34 g,2.5 g,16 g,12 g,,8.7 g,6.3 g,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kaviar-original-300g-kalles/2140641
Surimisticks 200g ICA,"22,90 kr","0.2kg 114,50 kr/kg",84 kcal,357 kJ,0.6 g,0.5 g,11 g,5.4 g,,8.8 g,1.7 g,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/surimisticks-200g-ica/2119179
Räkor med skal 70-90st/kg Fryst 500g Pandalus,"94,00 kr","0.5kg 188,00 kr/kg",100 kcal,380 kJ,0.7 g,0.5 g,0.9 g,0 g,,20 g,2 g,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/r%C3%A4kor-med-skal-70-90st-kg-fryst-500g-pandalus/1008715
Fish nuggets 480g Pacific brand,"43,90 kr","0.48kg 91,46 kr/kg",208 kcal,874 kJ,7.4 g,0.8 g,26 g,0.7 g,0.4 g,9.1 g,0.8 g,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fish-nuggets-480g-pacific-brand/2119177
Löksill 240g Abba,"32,90 kr","0.12kg 274,17 kr/kg u. spad",243 kcal,1016 kJ,13 g,3.4 g,20 g,20 g,,11 g,3.3 g,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%B6ksill-240g-abba/2154011
Fisknuggets glutenfria 270g ICA,"41,90 kr","0.27kg 155,19 kr/kg",196 kcal,823 kJ,8 g,0.8 g,18 g,0.5 g,,13 g,0.73 g,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fisknuggets-glutenfria-270g-ica/2106710
Bläckfiskringar Fryst 250g Pandalus,"44,90 kr","0.25kg 179,60 kr/kg",,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bl%C3%A4ckfiskringar-fryst-250g-pandalus/1008732
Caviar svart stenbitsrom 75g ICA,"47,90 kr","0.075kg 638,67 kr/kg",90 kcal,350 kJ,4.5 g,1 g,0.5 g,0 g,,10 g,5 g,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/caviar-svart-stenbitsrom-75g-ica/1355687
Sprödpanerad torskfilé 4-p Fryst 360g ICA,"66,00 kr","0.36kg 183,33 kr/kg",219 kcal,920 kJ,10 g,0.8 g,19 g,0.9 g,0.7 g,13 g,0.76 g,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/spr%C3%B6dpanerad-torskfil%C3%A9-4-p-fryst-360g-ica/1008930
Sejfilé bitar Fryst 400g ICA,"63,00 kr","0.4kg 157,50 kr/kg",82 kcal,344 kJ,0.5 g,0 g,0 g,0 g,,19 g,0.2 g,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sejfil%C3%A9-bitar-fryst-400g-ica/1026469
Hummer kokt fryst 375g Pandalus,"205,00 kr","0.375kg 546,67 kr/kg u. spad",84 kcal,356 kJ,0.9 g,0.2 g,0 g,0 g,,19 g,1.2 g,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/hummer-kokt-fryst-375g-pandalus/2120672
Lax Färsk Varmrökt 125g ICA Basic,"55,00 kr","0.125kg 440,00 kr/kg",231 kcal,960 kJ,16 g,2.4 g,0 g,0 g,,21 g,1.4 g,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lax-f%C3%A4rsk-varmr%C3%B6kt-125g-ica-basic/2151379
fryst Torskryggfilé 420g Royal Greenland,"163,00 kr","0.42kg 388,10 kr/kg",77 kcal,325 kJ,0.5 g,0.3 g,0 g,0 g,,18 g,0.2 g,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fryst-torskryggfil%C3%A9-420g-royal-greenland/2044570
