Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Fiber,Protein,Salt,Varav polyoler,Vitamin B12,Vitamin D,Folsyra,Selen,Vitamin A,Natrium,Kalcium,Järn,Material,Varav fleromättat fett,Varav enkelomättat fett,Vitamin C,Riboflavin,url
Utopia Double Hazelnut Glasspinne 1-p Magnum,"34,90 kr",,348 kcal,1458 kJ,20 g,12 g,37 g,29 g,0.8 g,4.6 g,0.5 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/utopia-double-hazelnut-glasspinne-1-p-magnum/2154455
Laxfilé Fryst 4-p 500g Pacific brand,"120,00 kr","0.5kg 240,00 kr/kg",180 kcal,750 kJ,12 g,2.6 g,0 g,0 g,,18 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/laxfil%C3%A9-fryst-4-p-500g-pacific-brand/1413816
Panpizza Veggie Fryst 170g Billys,"18,90 kr","0.17kg 111,18 kr/kg",228 kcal,956 kJ,8.5 g,3.4 g,27 g,2.1 g,1.8 g,9.7 g,0.85 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/panpizza-veggie-fryst-170g-billys/1006318
Glass Favorites Oreo 825ml GB Glace,"47,90 kr","0.825L 58,06 kr/l",217 kcal,909 kJ,8.7 g,7 g,31 g,23 g,,2.7 g,0.2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-favorites-oreo-825ml-gb-glace/2130397
Krispiga Potatisräfflor Fryst 600g ICA,"33,90 kr","0.6kg 56,50 kr/kg",188 kcal,789 kJ,6.7 g,0.8 g,28 g,0.3 g,1.6 g,3.1 g,0.66 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/krispiga-potatisr%C3%A4fflor-fryst-600g-ica/2093329
Glass Strawberry Cheesecake 465ml Ben & Jerrys,"80,00 kr","0.465L 172,04 kr/l",243 kcal,1021 kJ,14 g,7.4 g,27 g,24 g,,3.3 g,0.28 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-strawberry-cheesecake-465ml-ben-jerrys/2054636
Glass Mars 74ml Triumf Glass,"30,90 kr",,266 kcal,1114 kJ,14 g,8.3 g,33 g,25 g,,2.8 g,0.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-mars-74ml-triumf-glass/1443719
Glass Choklad 900ml ICA,"46,90 kr","0.9L 52,11 kr/l",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-choklad-900ml-ica/1318988
Glass White Chocolate Strawberry 100ml Magnum,"33,90 kr",,288 kcal,1203 kJ,17 g,11 g,30 g,26 g,,3.8 g,0.13 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-white-chocolate-strawberry-100ml-magnum/2130093
Glass Mini Utopia double hazelnut 6-p Magnum,"69,00 kr","6 per frp 11,50 kr/st",358 kcal,1499 kJ,21 g,13 g,37 g,30 g,0.8 g,4.8 g,0.47 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-mini-utopia-double-hazelnut-6-p-magnum/2154399
Jennys Kåldolme 400g Dafgård,"41,90 kr","0.4kg 104,75 kr/kg",120 kcal,502 kJ,6.9 g,2.3 g,11 g,3.7 g,1.4 g,2.9 g,1.2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/jennys-k%C3%A5ldolme-400g-dafg%C3%A5rd/2093869
Chili cheese nuggets Fryst 250g Lindströms Bites,"38,90 kr","0.25kg 155,60 kr/kg",250 kcal,1050 kJ,11 g,5.4 g,27 g,1.2 g,,9 g,1.8 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chili-cheese-nuggets-fryst-250g-lindstr%C3%B6ms-bites/1426112
Mini Marängtoppar 100g ICA,"35,90 kr","0.1kg 359,00 kr/kg",397 kcal,1686 kJ,0.1 g,0.1 g,94 g,81 g,,5.1 g,0.11 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mini-mar%C3%A4ngtoppar-100g-ica/2015742
Glass Vanilj Krossad Choklad 500ml GB Gräddglass,"18,90 kr","0.5L 37,80 kr/l",110 kcal,460 kJ,5.3 g,3.4 g,14 g,11 g,,1.4 g,0.05 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-vanilj-krossad-choklad-500ml-gb-gr%C3%A4ddglass/2067306
Pizza Rustica Beef Kebab 610g Dr.Oetker,"73,00 kr","0.61kg 119,67 kr/kg",222 kcal,931 kJ,8.5 g,5 g,26 g,3.3 g,,8.9 g,0.91 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pizza-rustica-beef-kebab-610g-dr-oetker/2054873
Vegetariska bitar Fryst 300g Quorn,"47,90 kr","0.3kg 159,67 kr/kg",97 kcal,405 kJ,1.6 g,0.3 g,4.2 g,0.3 g,5 g,14 g,0.64 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vegetariska-bitar-fryst-300g-quorn/1003593
Spenat- & ostknyten Fryst 400g ICA,"43,90 kr","0.4kg 109,75 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/spenat-ostknyten-fryst-400g-ica/1476643
Wallenbergare 420g Leif Mannerström,"51,00 kr","0.42kg 121,43 kr/kg",147 kcal,617 kJ,10 g,4.3 g,7.8 g,1.6 g,1.3 g,2.6 g,1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/wallenbergare-420g-leif-mannerstr%C3%B6m/2077921
Pizzarulle Mozzarella & Skinka 155g Grandiosa,"27,90 kr","0.155kg 180,00 kr/kg",221 kcal,924 kJ,8 g,3.3 g,26 g,1.9 g,,11 g,1.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pizzarulle-mozzarella-skinka-155g-grandiosa/2143256
Schnitzel med Emmentalerost Fryst 220g Quorn,"55,00 kr","0.22kg 250,00 kr/kg",237 kcal,989 kJ,12 g,3.3 g,18 g,0.5 g,4.2 g,13 g,1.2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/schnitzel-med-emmentalerost-fryst-220g-quorn/1446067
Lasagne Bolognese 400g ICA Basic,"30,90 kr","0.4kg 77,25 kr/kg",110 kcal,470 kJ,4.6 g,0.8 g,12 g,3.2 g,,5 g,0.8 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lasagne-bolognese-400g-ica-basic/2043900
Glass Magnum Mini Almond 6-p Magnum,"69,00 kr","6 per frp 11,50 kr/st",276 kcal,1154 kJ,17 g,10 g,26 g,24 g,,3.8 g,0.11 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-magnum-mini-almond-6-p-magnum/2131229
Laxfilé 3-pack 420g ICA,"139,00 kr","0.42kg 330,95 kr/kg",180 kcal,750 kJ,12 g,2.6 g,,,,18 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/laxfil%C3%A9-3-pack-420g-ica/2119277
Spicy Korean Rice Bowl 380g Felix,"66,00 kr","0.38kg 173,68 kr/kg",101 kcal,422 kJ,4.1 g,0.5 g,11 g,1.5 g,2.2 g,4.5 g,0.78 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/spicy-korean-rice-bowl-380g-felix/2119847
Glass Chocolate Fudge Brownie 465ml Ben & Jerrys,"80,00 kr","0.465L 172,04 kr/l",218 kcal,914 kJ,11 g,6.8 g,25 g,23 g,,3.7 g,0.2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-chocolate-fudge-brownie-465ml-ben-jerrys/2054662
Glass Klassikerlåda 18-pack GB Glace,"168,00 kr","1.413L 118,90 kr/l",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-klassikerl%C3%A5da-18-pack-gb-glace/2035414
Extra allt capricciosa Minipizza Fryst 165g Grandiosa,"27,90 kr","0.165kg 169,09 kr/kg",230 kcal,950 kJ,8.9 g,4 g,24 g,1.8 g,,11 g,1.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/extra-allt-capricciosa-minipizza-fryst-165g-grandiosa/1471161
Köttfärspaj Fryst 215g Felix,"40,90 kr","0.215kg 190,23 kr/kg",313 kcal,1311 kJ,21 g,11 g,20 g,1.8 g,,10 g,0.9 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/k%C3%B6ttf%C3%A4rspaj-fryst-215g-felix/1453780
Vegetariska Dumplings Fryst 16st 320g ICA,"61,00 kr","0.32kg 190,63 kr/kg",150 kcal,600 kJ,2.3 g,0.5 g,25 g,3.3 g,,6.6 g,1.3 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vegetariska-dumplings-fryst-16st-320g-ica/1476959
Ostschnitzlar 600g Scan,"85,00 kr","0.6kg 141,67 kr/kg",270 kcal,1100 kJ,17 g,6.9 g,13 g,2.5 g,,15 g,1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/ostschnitzlar-600g-scan/2101401
Räkor Extra stora skalade Frysta 200g ICA,"65,00 kr","0.2kg 325,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/r%C3%A4kor-extra-stora-skalade-frysta-200g-ica/1513505
Vegetarisk färs Fryst 300g Quorn,"47,90 kr","0.3kg 159,67 kr/kg",92 kcal,384 kJ,1.7 g,0.5 g,2.3 g,0.1 g,7.5 g,13 g,0.14 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vegetarisk-f%C3%A4rs-fryst-300g-quorn/1003594
Twister 1-p GB Glace,"16,90 kr",,98 kcal,411 kJ,0.5 g,0.4 g,22 g,17 g,,0.5 g,0.03 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/twister-1-p-gb-glace/2108936
Mango & hallon Fryst 250g ICA,"35,90 kr","0.25kg 143,60 kr/kg",97 kcal,409 kJ,0.3 g,0.5 g,21 g,9.9 g,4.3 g,0.9 g,0 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mango-hallon-fryst-250g-ica/1352069
Chicken Green Curry 350g Dafgård,"51,00 kr","0.35kg 145,71 kr/kg",149 kcal,623 kJ,5.6 g,4 g,17 g,2.1 g,1 g,6.3 g,0.88 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chicken-green-curry-350g-dafg%C3%A5rd/2077935
Gräddglass Vår finaste Salt Karamell 500ml SIA GLASS,"63,00 kr","0.5L 126,00 kr/l",260 kcal,1100 kJ,14 g,9.1 g,30 g,27 g,0 g,3.4 g,0.4 g,0 g,0 µg,0 µg,0 µg,0 µg,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%A4ddglass-v%C3%A5r-finaste-salt-karamell-500ml-sia-glass/2067317
Hallon Fryst 1kg ICA Basic,"89,00 kr","1kg 89,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/hallon-fryst-1kg-ica-basic/1461146
Filled Crêpes Mediterranean 240gg Findus,"46,90 kr","0.24kg 195,42 kr/kg",194 kcal,810 kJ,8.9 g,1 g,23 g,4.8 g,2.3 g,4.2 g,1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/filled-cr%C3%AApes-mediterranean-240gg-findus/2155550
Grovt Surdegsbröd Fryst Glutenfri 500g Fria,"61,00 kr","0.5kg 122,00 kr/kg",300 kcal,1250 kJ,13 g,1.6 g,35 g,4.6 g,11.5 g,6.1 g,1.3 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/grovt-surdegsbr%C3%B6d-fryst-glutenfri-500g-fria/2005000
Pommes frites Fryst 900g Felix,"38,90 kr","0.9kg 43,22 kr/kg",131 kcal,548 kJ,6.1 g,0.5 g,16 g,0.5 g,,1.7 g,0 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pommes-frites-fryst-900g-felix/1258982
