Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Protein,Salt,Fiber,Vitamin D,Kalcium,Järn,Natrium,Zink,Varav fleromättat fett,Varav enkelomättat fett,Selen,url
Kotlett Färsk Skivad Benfri 300g ICA,"56,00 kr","0.3kg 186,67 kr/kg",130 kcal,550 kJ,6 g,2.6 g,0 g,0 g,20 g,0.2 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kotlett-f%C3%A4rsk-skivad-benfri-300g-ica/1512843
Kycklingbröstfilé Färsk 720g ICA Gott Liv,"107,00 kr","0.72kg 148,61 kr/kg",105 kcal,437 kJ,1.2 g,0.38 g,0.5 g,0.1 g,23.1 g,0.16 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kycklingbr%C3%B6stfil%C3%A9-f%C3%A4rsk-720g-ica-gott-liv/2044240
Salamini Classico 112g ICA,"39,90 kr","0.117kg 341,03 kr/kg",483 kcal,2002 kJ,41 g,14 g,0.5 g,0.5 g,28 g,3.5 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/salamini-classico-112g-ica/2165799
Stekfläsk Skivat 375g ICA,"52,00 kr","0.375kg 138,67 kr/kg",,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/stekfl%C3%A4sk-skivat-375g-ica/2044090
Grillkorv 500g ICA,"31,90 kr","0.5kg 63,80 kr/kg",214 kcal,890 kJ,15 g,5.7 g,13 g,0.6 g,6.7 g,1.9 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/grillkorv-500g-ica/1477188
Chicken nuggets Fryst 1kg ICA Basic,"61,00 kr","1kg 61,00 kr/kg",238 kcal,995 kJ,12 g,1.8 g,22 g,0.6 g,10 g,1.1 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chicken-nuggets-fryst-1kg-ica-basic/1411116
Nötfärs Färsk 12% 1kg ICA,"166,00 kr","1kg 166,00 kr/kg",184 kcal,767 kJ,12 g,5.3 g,0.5 g,0.5 g,19 g,0.2 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/n%C3%B6tf%C3%A4rs-f%C3%A4rsk-12-1kg-ica/2117200
Bacon Tärnat 140g Scan,"25,90 kr","0.14kg 185,00 kr/kg",300 kcal,1250 kJ,28 g,11 g,0 g,0 g,13 g,2.4 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bacon-t%C3%A4rnat-140g-scan/1024943
Fläskfilé Färsk ca 500g ICA,Ca,"Ca 0.5kg 197,00 kr/kg",107 kcal,446 kJ,2.6 g,1 g,0.5 g,0.5 g,21 g,0.1 g,0 g,0.57 µg,5 mg,1.45 mg,0.048 g,1.7 mg,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fl%C3%A4skfil%C3%A9-f%C3%A4rsk-ca-500g-ica/1371698
Chorizo Cayenne Paprika 75% Kötthalt 300g Scan,"47,90 kr","0.3kg 159,67 kr/kg",250 kcal,1050 kJ,21 g,7.5 g,4.9 g,0.6 g,12 g,1.8 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chorizo-cayenne-paprika-75-k%C3%B6tthalt-300g-scan/1202307
Leverpastej Bredbar 200g Pastejköket,"17,90 kr","0.2kg 89,50 kr/kg",,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/leverpastej-bredbar-200g-pastejk%C3%B6ket/1023553
Grillkorv Kyckling 400g ICA,"28,90 kr","0.4kg 72,25 kr/kg",205 kcal,855 kJ,14 g,4.4 g,8.8 g,0.6 g,11 g,1.8 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/grillkorv-kyckling-400g-ica/2023538
Kalkonbacon 100g Ingelsta,"24,90 kr","0.1kg 249,00 kr/kg",,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kalkonbacon-100g-ingelsta/1327460
Emilskinka Rökt 120g Pärsons,"40,90 kr","0.12kg 340,83 kr/kg",105 kcal,440 kJ,2.7 g,0.9 g,0.9 g,0.4 g,19 g,2.4 g,1 g,,,,1.5 g,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/emilskinka-r%C3%B6kt-120g-p%C3%A4rsons/1275805
Fläskytterfilé 450g ICA,"73,00 kr","0.45kg 162,22 kr/kg",93 kcal,395 kJ,1.5 g,0.5 g,0.8 g,0.5 g,19 g,0.95 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fl%C3%A4skytterfil%C3%A9-450g-ica/2099836
Köttbullar med Grönsaker 350g ICA,"35,90 kr","0.35kg 102,57 kr/kg",219 kcal,910 kJ,15 g,5.8 g,9.9 g,1.6 g,11 g,1.5 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/k%C3%B6ttbullar-med-gr%C3%B6nsaker-350g-ica/2165686
Bacon 140g Scan,"22,90 kr","0.14kg 163,57 kr/kg",,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bacon-140g-scan/1202328
Ölkorv Hot Amigo 50g Ridderheims,"22,90 kr","0.05kg 458,00 kr/kg",440 kcal,1850 kJ,36 g,18 g,3.5 g,2 g,27 g,4.3 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6lkorv-hot-amigo-50g-ridderheims/1476970
Pepparsalami 120g Kotivara,"39,90 kr","0.12kg 332,50 kr/kg",433 kcal,1810 kJ,37 g,13.4 g,3.9 g,0.1 g,21.6 g,4 g,2.1 g,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pepparsalami-120g-kotivara/1404224
Cognacsmedwurst Tunna Skivor 200g ICA,"31,90 kr","0.2kg 159,50 kr/kg",320 kcal,1326 kJ,27 g,10 g,5.1 g,4.5 g,14 g,2.5 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cognacsmedwurst-tunna-skivor-200g-ica/2030589
