Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Fiber,Protein,Salt,Varav fleromättat fett,Varav enkelomättat fett,url
Baguette vete 125g Bonjour,"13,90 kr","0.125kg 111,20 kr/kg",240 kcal,1028 kJ,1.2 g,0.3 g,47 g,0.3 g,3.7 g,8.7 g,1.1 g,,,https://handlaprivatkund.ica.se/stores/1004181/products/baguette-vete-125g-bonjour/2032442
Vaniljmunk 63g Familjen Dafgård,"14,90 kr","0.063kg 236,51 kr/kg",313 kcal,1302 kJ,15.5 g,6.3 g,36.8 g,13.3 g,1.3 g,5.6 g,0.7 g,2.6 g,6.6 g,https://handlaprivatkund.ica.se/stores/1004181/products/vaniljmunk-63g-familjen-dafg%C3%A5rd/2140863
Donut Wild Fruits 70 g Dafgård,"14,90 kr","0.07kg 212,86 kr/kg",405 kcal,1692 kJ,22 g,12 g,47 g,26 g,,4.4 g,0.75 g,,,https://handlaprivatkund.ica.se/stores/1004181/products/donut-wild-fruits-70-g-dafg%C3%A5rd/2140882
Gourmet Tranbärsbröd 350g Bonjour,"39,90 kr","0.35kg 114,00 kr/kg",,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gourmet-tranb%C3%A4rsbr%C3%B6d-350g-bonjour/1428608
Ostfranska 70g Bonjour,"12,90 kr","0.07kg 184,29 kr/kg",287 kcal,1215 kJ,4.2 g,2.2 g,50 g,1.8 g,2.3 g,11 g,1.7 g,,,https://handlaprivatkund.ica.se/stores/1004181/products/ostfranska-70g-bonjour/2137476
Lyxbulle Blåbär & Vanilj 100g Dafgårds,"14,90 kr","0.1kg 149,00 kr/kg",280 kcal,1200 kJ,6.8 g,3.4 g,48 g,20 g,1.4 g,5.5 g,0.28 g,,,https://handlaprivatkund.ica.se/stores/1004181/products/lyxbulle-bl%C3%A5b%C3%A4r-vanilj-100g-dafg%C3%A5rds/2128494
Baguette Garlic 182g La Lorraine,"18,90 kr","0.182kg 103,85 kr/kg",285 kcal,1200 kJ,7.8 g,4.9 g,45 g,1.8 g,2.1 g,7.5 g,1.5 g,,,https://handlaprivatkund.ica.se/stores/1004181/products/baguette-garlic-182g-la-lorraine/2128275
Lammgryta med röd curry och ris,"89,00 kr","0.45kg 197,78 kr/kg",,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lammgryta-med-r%C3%B6d-curry-och-ris/7301005002833
Vegansk med bulgursallad och paprikakräm,"89,00 kr","0.42kg 211,90 kr/kg",,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vegansk-med-bulgursallad-och-paprikakr%C3%A4m/7301005002802
Kycklinggryta med ris,"89,00 kr","0.45kg 197,78 kr/kg",,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kycklinggryta-med-ris/7301005002826
Pasta med oxfilé,"89,00 kr","0.45kg 197,78 kr/kg",,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pasta-med-oxfil%C3%A9/7318690476153
Gourmet Tranbär 350 g Bonjour,"39,90 kr","0.35kg 114,00 kr/kg",273 kcal,1157 kJ,0.9 g,0.2 g,57 g,11 g,3.7 g,7 g,1.2 g,,,https://handlaprivatkund.ica.se/stores/1004181/products/gourmet-tranb%C3%A4r-350-g-bonjour/2140821
Pasta med kyckling och soltorkade tomater,"89,00 kr","0.45kg 197,78 kr/kg",,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pasta-med-kyckling-och-soltorkade-tomater/7318690483960
Rotfruktslasagne,"89,00 kr","0.45kg 197,78 kr/kg",,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/rotfruktslasagne/7318690476160
Baguette Vete 400g Bonjour,"16,90 kr","0.4kg 42,25 kr/kg",240 kcal,1028 kJ,1.2 g,0.3 g,47 g,0.3 g,3.7 g,8.7 g,1.1 g,,,https://handlaprivatkund.ica.se/stores/1004181/products/baguette-vete-400g-bonjour/2032443
Chokladmuffins 100g Dan Cake,"14,90 kr","0.1kg 149,00 kr/kg",390 kcal,1632 kJ,20 g,2.8 g,48 g,26 g,,4.8 g,1 g,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladmuffins-100g-dan-cake/2141927
Ungerskt bröd 420g Bonjour,"39,90 kr","0.45kg 88,67 kr/kg",240 kcal,1003 kJ,0.9 g,0.1 g,49 g,0.4 g,3.9 g,6.6 g,1.4 g,,,https://handlaprivatkund.ica.se/stores/1004181/products/ungerskt-br%C3%B6d-420g-bonjour/1428614
