Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Protein,Salt,Fiber,Kalium,Tiamin,Zink,Varav enkelomättat fett,Varav fleromättat fett,Järn,Magnesium,Folsyra,Fosfor,Vitamin C,Vitamin E,Natrium,Kalcium,Niacin,url
Köttbuljong 12-p 132g ICA,"21,90 kr","6L 3,65 kr/l drickklar",310 kcal,1300 kJ,19 g,9.7 g,31 g,8.4 g,4.6 g,41.3 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/k%C3%B6ttbuljong-12-p-132g-ica/1526873
Gammaldags Idealmakaroner 750g Kungsörnen,"20,90 kr","0.75kg 27,87 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gammaldags-idealmakaroner-750g-kungs%C3%B6rnen/1446622
Nudlar Kycklingsmak 85g Samyang,"8,90 kr","0.085kg 104,71 kr/kg",459 kcal,1920 kJ,16 g,8 g,54 g,2 g,7 g,4 g,2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/nudlar-kycklingsmak-85g-samyang/1003165
Tonfisk i olja 170g ICA,"27,90 kr","0.12kg 232,50 kr/kg u. spad",189 kcal,789 kJ,9.9 g,1.2 g,0 g,0 g,25 g,1 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tonfisk-i-olja-170g-ica/2092258
Kokosgrädde 200ml Kung markatta,"22,90 kr","0.2L 114,50 kr/l",219 kcal,902 kJ,22 g,20 g,3 g,1.7 g,2.2 g,0.03 g,1.2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kokosgr%C3%A4dde-200ml-kung-markatta/2125950
"Lingonsylt 1,5Kg ICA Basic","56,00 kr","1.5kg 37,33 kr/kg",141 kcal,599 kJ,0.5 g,0.5 g,34 g,33 g,0.5 g,0.1 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lingonsylt-1-5kg-ica-basic/1411262
Vitlökspulver 49g Santa Maria,"35,90 kr","0.049kg 732,65 kr/kg",346 kcal,1463 kJ,0.7 g,0.2 g,64 g,2.4 g,17 g,0.15 g,9 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vitl%C3%B6kspulver-49g-santa-maria/2023263
Champinjoner Skivade 290g ICA,"17,90 kr","0.17kg 105,29 kr/kg u. spad",20 kcal,82 kJ,0.5 g,0 g,0.5 g,0 g,2.3 g,0.45 g,2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/champinjoner-skivade-290g-ica/1390019
Taco sauce Medium 230g Santa Maria,"19,90 kr","0.23kg 86,52 kr/kg",34 kcal,144 kJ,0 g,0 g,5.5 g,4 g,1.5 g,1.1 g,1.7 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/taco-sauce-medium-230g-santa-maria/1519332
Granola Kanel mandel & äpple 450g Paulúns,"73,00 kr","0.45kg 162,22 kr/kg",431 kcal,1805 kJ,18 g,1.3 g,46 g,8.2 g,11 g,0.33 g,22 g,360 mg,0.23 mg,1.9 mg,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/granola-kanel-mandel-%C3%A4pple-450g-paul%C3%BAns/1475980
Lingon Rårörda 750g ICA,"70,00 kr","0.75kg 93,33 kr/kg",186 kcal,789 kJ,0 g,0 g,45 g,44 g,0.3 g,0 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lingon-r%C3%A5r%C3%B6rda-750g-ica/2009908
