Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Fiber,Protein,Salt,Natrium,Varav fleromättat fett,Varav enkelomättat fett,url
Linssoppa 400ml Weight Watchers,"26,90 kr","0.4L 67,25 kr/l",53 kcal,222 kJ,0.5 g,0.5 g,7.9 g,1.9 g,2.5 g,2.9 g,0.78 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/linssoppa-400ml-weight-watchers/1412508
Sandwich Mozzarella & tomat 140g Italsandwich,"48,90 kr","0.14kg 349,29 kr/kg",316 kcal,1317 kJ,19 g,4.5 g,24 g,2.2 g,,10 g,1.1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sandwich-mozzarella-tomat-140g-italsandwich/2009852
Färdigmat Lasagnette bolognese med mozzarella 400g Gooh,"92,00 kr","0.4kg 230,00 kr/kg",179 kcal,748 kJ,8.7 g,5.3 g,16 g,2.4 g,1.1 g,8.8 g,0.9 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/f%C3%A4rdigmat-lasagnette-bolognese-med-mozzarella-400g-gooh/2166250
Risgrynsgröt 500g ICA,"18,90 kr","0.5kg 37,80 kr/kg",100 kcal,424 kJ,2.6 g,1.7 g,16 g,5.3 g,,2.7 g,0.41 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/risgrynsgr%C3%B6t-500g-ica/2116415
Räk Dillsås 250g Middagsklart Abba,"35,90 kr","0.25kg 143,60 kr/kg",122 kcal,512 kJ,10 g,5.3 g,6.3 g,1.3 g,,1 g,1.4 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/r%C3%A4k-dills%C3%A5s-250g-middagsklart-abba/1437242
Potatisgratäng 800g Peka,"42,90 kr","0.8kg 53,63 kr/kg",121 kcal,506 kJ,7 g,1.5 g,11.9 g,1.7 g,1.6 g,2 g,0.97 g,0.39 g,,,https://handlaprivatkund.ica.se/stores/1004181/products/potatisgrat%C3%A4ng-800g-peka/1330357
Färsk Pasta Tortelloni Svamp 250g Rana,"62,00 kr","0.25kg 248,00 kr/kg",269 kcal,1127 kJ,9.6 g,3.4 g,33 g,6.3 g,6.2 g,9.5 g,1.4 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/f%C3%A4rsk-pasta-tortelloni-svamp-250g-rana/1454471
Hollandaise 230ml Eriks såser,"35,90 kr","0.23L 156,09 kr/l",700 kcal,3000 kJ,79 g,5.8 g,0.5 g,0.5 g,,1.2 g,0.8 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/hollandaise-230ml-eriks-s%C3%A5ser/1354056
Champinjonsoppa 4 portioner 1l Blå Band,"25,90 kr","1L 25,90 kr/l",48 kcal,203 kJ,1.8 g,1.0 g,6.3 g,1.2 g,0.2 g,1.5 g,0.72 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/champinjonsoppa-4-portioner-1l-bl%C3%A5-band/1007211
Citronsås 250g Middagsklart Abba,"35,90 kr","0.25kg 143,60 kr/kg",143 kcal,597 kJ,12 g,5.6 g,7.3 g,1.3 g,,1 g,1.4 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/citrons%C3%A5s-250g-middagsklart-abba/1414132
Wrap Kyckling Korean Style 300g ICA,"59,00 kr","0.3kg 196,67 kr/kg",177 kcal,746 kJ,5 g,0.6 g,28 g,6.3 g,,5 g,1.7 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/wrap-kyckling-korean-style-300g-ica/2152118
Grön Sparrissoppa 5dl Kelda,"37,90 kr","0.5L 75,80 kr/l",64 kcal,268 kJ,4 g,2.5 g,5.1 g,2.1 g,,1.7 g,0.98 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%B6n-sparrissoppa-5dl-kelda/1344346
Baguette med Kycklingcurryröra 220g ICA,"55,00 kr","0.22kg 250,00 kr/kg",290 kcal,1208 kJ,18 g,2.6 g,25 g,2.7 g,,6.2 g,0.63 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/baguette-med-kycklingcurryr%C3%B6ra-220g-ica/2107448
Kycklinggryta med ris,"89,00 kr","0.45kg 197,78 kr/kg",,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kycklinggryta-med-ris/7301005002826
Österikisk Gulaschsoppa 475g Felix,"60,00 kr","0.475kg 126,32 kr/kg",71 kcal,296 kJ,3.7 g,0.5 g,6.2 g,1.7 g,,2.5 g,0.78 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6sterikisk-gulaschsoppa-475g-felix/1443082
Coleslaw texas style 200g Texas Longhorn,"33,90 kr","0.2kg 169,50 kr/kg",290 kcal,1200 kJ,28 g,2.1 g,8.4 g,4.1 g,0.5 g,0.8 g,0.7 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/coleslaw-texas-style-200g-texas-longhorn/1467569
