Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Protein,Salt,Fiber,Varav polyoler,Fosfor,Vitamin B12,Vitamin D,Folsyra,Selen,Järn,Magnesium,Zink,Varav enkelomättat fett,Varav fleromättat fett,Fluorid,Vitamin B6,Natrium,Kalcium,Material,Kalium,Vitamin E,Pantotensyra,url
Jordnötter saltade Ekologisk 200g ICA I love eco,"25,90 kr","0.2kg 129,50 kr/kg",600 kcal,2550 kJ,51 g,7.4 g,12 g,4.7 g,23 g,1 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/jordn%C3%B6tter-saltade-ekologisk-200g-ica-i-love-eco/2009841
Utopia Double Hazelnut Glasspinne 1-p Magnum,"34,90 kr",,348 kcal,1458 kJ,20 g,12 g,37 g,29 g,4.6 g,0.5 g,0.8 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/utopia-double-hazelnut-glasspinne-1-p-magnum/2154455
Godis Sur Hallon/Persika Stång 27g Toms,"6,90 kr","0.027kg 255,56 kr/kg",378 kcal,1602 kJ,3.7 g,3.5 g,84 g,67 g,0.9 g,0.21 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/godis-sur-hallon-persika-st%C3%A5ng-27g-toms/2157953
Chokladkaka Helnöt 160g Marabou,"38,90 kr","0.16kg 243,13 kr/kg",572 kcal,2380 kJ,38 g,16 g,49 g,47 g,6.7 g,0.21 g,3.5 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladkaka-heln%C3%B6t-160g-marabou/2166170
Snacks Dillskruvar 80g Estrella,"25,90 kr","0.08kg 323,75 kr/kg",479 kcal,2004 kJ,23 g,2.2 g,63 g,1.3 g,3.5 g,1.8 g,3.5 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/snacks-dillskruvar-80g-estrella/2149375
Chips Cheezy Jalapeño 150gJohnnys,"40,90 kr","0.15kg 272,67 kr/kg",490 kcal,2050 kJ,26 g,2.6 g,56 g,1.7 g,8.3 g,1.9 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chips-cheezy-jalape%C3%B1o-150gjohnnys/2149667
Glass Favorites Oreo 825ml GB Glace,"47,90 kr","0.825L 58,06 kr/l",217 kcal,909 kJ,8.7 g,7 g,31 g,23 g,2.7 g,0.2 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-favorites-oreo-825ml-gb-glace/2130397
Glass Strawberry Cheesecake 465ml Ben & Jerrys,"80,00 kr","0.465L 172,04 kr/l",243 kcal,1021 kJ,14 g,7.4 g,27 g,24 g,3.3 g,0.28 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-strawberry-cheesecake-465ml-ben-jerrys/2054636
Godis Tutti frutti Original 180g Fazer,"25,90 kr","0.18kg 143,89 kr/kg",361 kcal,1517 kJ,0.5 g,0 g,89 g,60 g,0.5 g,0.29 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/godis-tutti-frutti-original-180g-fazer/2004875
Mörk choklad Toffee 150g Riesen,"29,90 kr","0.15kg 199,33 kr/kg",448 kcal,1877 kJ,18.1 g,10.7 g,66.6 g,44.7 g,3.8 g,0.14 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/m%C3%B6rk-choklad-toffee-150g-riesen/1002528
Godis Fizzy Bottles 50g Pändy,"26,90 kr","0.05kg 538,00 kr/kg",70 kcal,291 kJ,0 g,0 g,8 g,0.6 g,2.4 g,0.04 g,26 g,6 g,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/godis-fizzy-bottles-50g-p%C3%A4ndy/2112891
Lakrits Extra Salt 120g Nordiskt Lakritskök,"30,90 kr","0.12kg 257,50 kr/kg",290 kcal,1250 kJ,0.5 g,0.5 g,68 g,48 g,4 g,1.2 g,1.2 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lakrits-extra-salt-120g-nordiskt-lakritsk%C3%B6k/2159031
Popcorn Mikropopcorn smörsmak 3-p 270g ICA,"25,90 kr","0.27kg 95,93 kr/kg",448 kcal,1879 kJ,16 g,6.8 g,61 g,0.8 g,9.5 g,1.1 g,11 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/popcorn-mikropopcorn-sm%C3%B6rsmak-3-p-270g-ica/2149232
Nötbar Mörkchoklad 40g BE-Kind,"26,90 kr","0.04kg 672,50 kr/kg",515 kcal,2156 kJ,36 g,7.4 g,23 g,15 g,16 g,0.78 g,17 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/n%C3%B6tbar-m%C3%B6rkchoklad-40g-be-kind/2051389
Glass Mars 74ml Triumf Glass,"30,90 kr",,266 kcal,1114 kJ,14 g,8.3 g,33 g,25 g,2.8 g,0.1 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-mars-74ml-triumf-glass/1443719
