Name,Price,Size,Energi (kcal),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Fiber,Protein,Salt,Vitamin B12,Järn,Energi (kJ),Vitamin D,Riboflavin,Kalcium,Jod,Folsyra,Varav enkelomättat fett,Varav polyoler,Natrium,Varav fleromättat fett,Vitamin A,Magnesium,Zink,Vitamin E,Vitamin B6,url
Chickensticks crispy vegansk 200g Vivera,"43,90 kr","0.2kg 219,50 kr/kg",199 kcal,7.7 g,0.9 g,15 g,0.9 g,4 g,15 g,1.3 g,0.38 µg,2.1 mg,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chickensticks-crispy-vegansk-200g-vivera/2093509
"Havregurt Hallon 1,3% 1000g Oddlygood®","38,90 kr","1kg 38,90 kr/kg",78 kcal,1.3 g,0.2 g,15 g,8 g,,1.3 g,0.07 g,0.4 µg,,330 kJ,1 µg,0.21 mg,120 mg,22.5 µg,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havregurt-hallon-1-3-1000g-oddlygood/2142035
Havredryck Naturell KRAV 1l ICA I love eco,"20,90 kr","1L 20,90 kr/l",40 kcal,0.5 g,0.5 g,6.7 g,4.1 g,0.8 g,1 g,0.1 g,,,150 kJ,1.1 µg,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-naturell-krav-1l-ica-i-love-eco/2035619
Stek och bakmargarin 500g Carlshamn,"32,90 kr","0.5kg 65,80 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/stek-och-bakmargarin-500g-carlshamn/1479669
Vego Pytt 700g Findus,"70,00 kr","0.7kg 100,00 kr/kg",136 kcal,5.2 g,0.5 g,16 g,1.4 g,2.5 g,5.1 g,0.64 g,,,571 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vego-pytt-700g-findus/2108488
Havredryck Barista 2% 1l ICA Basic,"18,90 kr","1L 18,90 kr/l",54 kcal,2 g,0.2 g,7.6 g,2.5 g,,0.8 g,0.1 g,0.38 µg,,225 kJ,1 µg,0.21 µg,120 mg,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-barista-2-1l-ica-basic/2157296
Havregrädde iMat 13% 1l Oatly,"39,90 kr","1L 39,90 kr/l",150 kcal,13 g,1.6 g,5.8 g,3.6 g,0.8 g,0.9 g,0.11 g,,,600 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havregr%C3%A4dde-imat-13-1l-oatly/1471192
Burgare Delifresh Plant Beef 4-p 90g Max,"64,00 kr","0.36kg 177,78 kr/kg",291 kcal,23 g,13 g,5 g,1.7 g,2.3 g,16 g,1.2 g,,,1217 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/burgare-delifresh-plant-beef-4-p-90g-max/2054904
Filidutter 65g Konfekta,"13,90 kr","0.065kg 213,85 kr/kg",390 kcal,0 g,0 g,93.9 g,73.8 g,,0 g,0 g,,,1620 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/filidutter-65g-konfekta/2011531
"Havredryck Naturell 2,8% 1l Oatly","26,90 kr","1L 26,90 kr/l",60 kcal,2.8 g,0.3 g,7.1 g,3.4 g,0.8 g,1.1 g,0.1 g,0.38 µg,,249 kJ,1.1 µg,0.21 mg,120 mg,22.5 µg,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-naturell-2-8-1l-oatly/2023911
Mandeldryck Natur 1l ICA,"25,90 kr","1L 25,90 kr/l",14 kcal,1.2 g,0.1 g,0.5 g,0.5 g,0.5 g,0.5 g,0.12 g,0.38 µg,,56 kJ,0.75 µg,0.21 mg,120 mg,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mandeldryck-natur-1l-ica/1510388
Sojadryck Naturell 1l ICA,"22,90 kr","1L 22,90 kr/l",40 kcal,1.9 g,0.3 g,2.8 g,2.7 g,0.5 g,3.2 g,0.1 g,0.38 µg,,180 kJ,0.75 µg,0.21 mg,120 mg,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sojadryck-naturell-1l-ica/2001383
"Havregrädde iMat 13% 2,5dl Oatly","15,90 kr","0.25L 63,60 kr/l",150 kcal,13 g,1.6 g,5.8 g,3.6 g,0.8 g,0.9 g,0.11 g,,,600 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havregr%C3%A4dde-imat-13-2-5dl-oatly/1268816
Vegobacon 80g ICA,"26,90 kr","0.08kg 336,25 kr/kg",236 kcal,18 g,3.9 g,11 g,3 g,4.4 g,5 g,2.7 g,,,979 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vegobacon-80g-ica/2129569
Vegetariska Filéer Fryst 312g Quorn,"47,90 kr","0.312kg 153,53 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vegetariska-fil%C3%A9er-fryst-312g-quorn/1344992
Risdryck Naturell 1l ICA,"27,90 kr","1L 27,90 kr/l",,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/risdryck-naturell-1l-ica/1510384
Godispåse Filidutter Hallon 65g Konfekta,"13,90 kr","0.065kg 213,85 kr/kg",390 kcal,0 g,0 g,93.6 g,73.6 g,,0 g,0 g,,,1620 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/godisp%C3%A5se-filidutter-hallon-65g-konfekta/2018446
Aioli vegansk 200g ICA,"25,90 kr","0.2kg 129,50 kr/kg",548 kcal,60 g,4.2 g,1.8 g,0.5 g,,0.5 g,1 g,,,2256 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/aioli-vegansk-200g-ica/2129526
"Havredryck Naturell 1,5% Ekologisk 1l Oatly","26,90 kr","1L 26,90 kr/l",48 kcal,1.5 g,0.2 g,7.2 g,3.5 g,0.8 g,1.1 g,0.1 g,,,203 kJ,1.1 µg,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-naturell-1-5-ekologisk-1l-oatly/2023908
Vegetariska bitar Fryst 300g Quorn,"47,90 kr","0.3kg 159,67 kr/kg",97 kcal,1.6 g,0.3 g,4.2 g,0.3 g,5 g,14 g,0.64 g,,,405 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vegetariska-bitar-fryst-300g-quorn/1003593
Havregurt Vanilj 2% 1l Oatly,"42,90 kr","1kg 42,90 kr/kg",86 kcal,2.1 g,0.2 g,15.1 g,8.3 g,0.9 g,1.1 g,0.06 g,0.38 µg,,360 kJ,1.1 µg,0.21 mg,146 mg,22.5 µg,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havregurt-vanilj-2-1l-oatly/2004528
